不可重复,假名,"如果有的话, 给出汉字",中文翻译,连到例子表,导出的图片名字,使用声音文件,声音开始时间,声音结束时间,来源
id,kana,kanji,chinese,example_id,image_path,sound_file,sound_start,sound_end,book_id
int,string,string,string,int,string,string,int,int,int
225,とりよせる,取り寄せる,,0,res://assets/words/jp_word_225.png,,0,0,1
226,あつかう,扱う,,0,res://assets/words/jp_word_226.png,,0,0,1
1547,ファストフード,,快餐食品,0,res://assets/words/jp_word_1547.png,,0,0,2
1548,てん,点,,0,res://assets/words/jp_word_1548.png,,0,0,2
1549,メニュー,,菜单,0,res://assets/words/jp_word_1549.png,,0,0,2
1550,だいひょうてきな,代表的な,代表性的,0,res://assets/words/jp_word_1550.png,,0,0,2
1551,フンバーガー,,汉堡包,0,res://assets/words/jp_word_1551.png,,0,0,2
1552,フライドポテト,,炸暮条,0,res://assets/words/jp_word_1552.png,,0,0,2
1553,スープ,,汤,0,res://assets/words/jp_word_1553.png,,0,0,2
1554,しゅるい,種類,,0,res://assets/words/jp_word_1554.png,,0,0,2
1555,~ちょうえん,~兆円,~万亿日元,0,res://assets/words/jp_word_1555.png,,0,0,2
1556,りゆう,理由,,0,res://assets/words/jp_word_1556.png,,0,0,2
1557,てがるに,手軽に,方便,0,res://assets/words/jp_word_1557.png,,0,0,2
1558,しかし,,但是,0,res://assets/words/jp_word_1558.png,,0,0,2
1559,このような,,这样的,0,res://assets/words/jp_word_1559.png,,0,0,2
1560,カロリー,,卡路里,0,res://assets/words/jp_word_1560.png,,0,0,2
1561,せいかつしゅうかんびょう,生活習慣病,,0,res://assets/words/jp_word_1561.png,,0,0,2
1562,ふやす,増やす,增加,0,res://assets/words/jp_word_1562.png,,0,0,2
1563,ひょうじする,表示する,标示,0,res://assets/words/jp_word_1563.png,,0,0,2
1564,てきとうな,適当な,恰当的,0,res://assets/words/jp_word_1564.png,,0,0,2
1565,たいじゅう,体重,,0,res://assets/words/jp_word_1565.png,,0,0,2
